"","DSI"
"1",5.1489
"2",5.4024
"3",6.0638
"4",5.4721
"5",5.7857
"6",6.2789
"7",6.0986
"8",5.4869
"9",5.89
"10",5.1383
"11",5.3514
"12",5.3466
"13",5.8548
"14",5.7175
"15",5.6584
"16",5.5713
"17",5.6497
"18",4.8368
"19",4.4851
"20",5.2575
"21",5.4739
"22",4.6894
"23",4.7459
"24",4.5126
"25",4.2252
"26",5.1274
"27",5.62
"28",5.7449
"29",5.1269
"30",5.0079
"31",4.8923
"32",5.139
"33",5.7534
"34",5.4668
"35",5.8785
"36",5.7317
"37",5.8423
"38",5.4622
"39",5.9539
"40",6.009
"41",6.3132
"42",6.0381
"43",5.824
"44",5.6907
"45",5.5552
"46",5.4039
"47",6.0208
"48",5.9793
"49",6.4776
"50",6.1674
"51",6.3042
"52",6.0778
"53",6.1642
"54",5.9404
"55",6.4623
"56",6.0891
"57",5.3538
"58",5.1725
"59",5.337
"60",5.8216
"61",6.0298
"62",5.9274
"63",5.468
"64",6.0829
"65",6.0771
"66",6.4598
"67",5.772
"68",6.32
"69",5.9794
"70",5.9228
"71",5.7719
"72",5.9911
"73",6.5171
"74",6.0595
"75",5.7651
"76",5.395
"77",5.2826
"78",5.9439
"79",5.3759
"80",5.9165
"81",6.0935
"82",5.7169
"83",5.6602
"84",5.1667
"85",5.5542
"86",5.3768
"87",5.3921
"88",5.0712
"89",5.9048
"90",6.3098
"91",5.795
"92",5.346
"93",5.8265
"94",5.7425
"95",5.5232
"96",5.779
"97",5.5944
"98",5.3497
"99",5.5674
"100",5.1684
"101",5.6812
"102",5.7
"103",5.7714
"104",5.8737
"105",5.0539
"106",4.6868
"107",4.7398
"108",4.5217
"109",4.345
"110",5.3582
"111",6.2516
"112",6.0096
"113",6.7633
"114",6.0097
"115",6.2333
"116",5.8477
"117",5.2329
"118",5.5597
"119",5.6048
"120",5.9146
"121",5.8527
"122",6.1157
"123",5.999
"124",6.1185
"125",6.4012
"126",6.4911
"127",6.1075
"128",5.5912
"129",6.3795
"130",6.2381
"131",6.3587
"132",5.54
"133",5.761
"134",5.3607
"135",5.6501
"136",5.8729
"137",5.7427
"138",5.9179
"139",5.7741
"140",5.6587
"141",5.497
"142",5.4186
"143",5.4612
"144",5.1726
"145",5.1835
"146",4.6074
"147",4.7732
"148",3.7614
"149",3.268
"150",2.7201
"151",2.9557
"152",2.5656
"153",2.5007
"154",2.7156
"155",3.468
"156",3.3702
"157",3.4877
"158",3.5139
"159",3.2021
"160",3.4098
"161",3.0134
"162",3.4787
"163",3.0318
"164",3.113
"165",2.6002
"166",2.8608
"167",3.2273
"168",3.0859
"169",3.4726
"170",3.4568
"171",3.0995
"172",2.6975
"173",2.5954
"174",2.9235
"175",2.7984
"176",3.0752
"177",2.8462
"178",2.7162
"179",2.4137
"180",2.9364
"181",2.8955
"182",3.1402
"183",3.4211
"184",3.544
"185",2.8969
"186",2.5607
"187",2.5523
"188",2.4806
"189",2.5661
"190",3.1024
"191",2.9179
"192",2.495
"193",3.2099
"194",3.3054
"195",3.0421
"196",3.2485
"197",2.6116
"198",2.9085
"199",2.7455
"200",2.5827
"201",3.2011
"202",2.8966
"203",2.8188
"204",3.0805
"205",2.8438
"206",3.0361
"207",2.9879
"208",2.6616
"209",2.9596
"210",2.4239
"211",2.4212
"212",2.1576
"213",2.3101
"214",2.722
"215",3.1763
"216",3.2213
"217",2.8561
"218",2.8203
"219",3.2747
"220",3.4708
"221",3.5323
"222",3.1017
"223",2.979
"224",3.1735
"225",2.9199
"226",2.9362
"227",2.7355
"228",3.0848
"229",2.5973
"230",3.1121
"231",2.8754
"232",2.9464
"233",2.6027
"234",3.1306
"235",2.967
"236",3.2008
"237",2.7251
"238",2.7622
"239",2.6647
"240",3.1801
"241",3.0967
"242",2.811
"243",3.03
"244",2.8924
"245",2.6645
"246",2.447
"247",2.6811
"248",2.9382
"249",2.8906
"250",2.9294
"251",2.5394
"252",2.2863
"253",2.6349
"254",2.858
"255",3.028
"256",3.0269
"257",3.301
"258",3.0598
"259",3.4035
"260",3.51
"261",3.5064
"262",3.5407
"263",3.2956
"264",2.7235
"265",2.7358
"266",2.391
"267",2.6386
"268",3.1271
"269",2.8567
"270",3.1958
"271",2.7444
"272",3.4216
"273",3.4563
"274",3.3269
"275",2.7555
"276",3.2031
"277",2.6696
"278",2.7531
"279",2.9926
"280",2.8677
"281",2.9797
"282",3.5949
"283",3.0809
"284",3.3244
"285",3.0826
"286",3.0208
"287",3.3866
"288",3.6008
"289",3.056
"290",3.3444
"291",3.3667
"292",3.2161
"293",2.737
"294",2.5148
"295",2.7205
"296",2.7816
"297",3.2642
"298",2.869
"299",3.3745
"300",2.8039
"301",3.1614
"302",2.8524
"303",2.9573
"304",3.4453
"305",3.3298
"306",2.8806
"307",3.5049
"308",3.5077
"309",2.8831
"310",2.7675
"311",2.9391
"312",2.5317
"313",2.7396
"314",2.6014
"315",2.746
"316",2.7286
"317",3.1812
"318",2.8019
"319",2.265
"320",3.3111
"321",3.0518
"322",3.1807
"323",3.5704
"324",3.4761
"325",3.3878
"326",3.5976
"327",3.2856
"328",3.3446
"329",3.5279
"330",3.9458
"331",3.4583
"332",3.3823
"333",3.6048
"334",3.6939
"335",3.588
"336",3.4349
"337",3.6339
"338",3.4965
"339",3.5298
"340",3.7579
"341",3.5994
"342",3.2231
"343",3.2758
"344",2.7225
"345",2.5387
"346",2.7869
"347",3.0648
"348",2.9093
"349",3.371
