"","d_CD-CBM","Rg_CD","Rg_CBM","Rg_Global"
"1",56.5688,21.8487,12.5317,29.7698
"2",56.4422,21.8603,12.5751,29.7437
"3",56.5822,21.808,12.6166,29.7535
"4",55.9005,21.7975,12.5927,29.5648
"5",56.0595,21.8836,12.631,29.663
"6",56.0886,21.9659,12.6968,29.7271
"7",56.377,21.9593,12.6012,29.7926
"8",56.4557,21.8801,12.5768,29.7557
"9",56.4789,21.9038,12.5864,29.7795
"10",56.8195,21.9621,12.622,29.9125
"11",56.7534,21.9654,12.5628,29.8918
"12",56.3442,21.8255,12.6328,29.7029
"13",56.4203,21.7994,12.6286,29.7012
"14",56.9245,21.8277,12.6875,29.8682
"15",57.3676,21.8923,12.657,30.0127
"16",57.1522,21.8268,12.6231,29.9141
"17",56.9545,21.8109,12.5864,29.8553
"18",56.7466,21.8831,12.6312,29.8441
"19",56.9382,21.7577,12.5701,29.8124
"20",56.8514,21.8371,12.6031,29.8422
"21",57.0824,21.8579,12.6398,29.9253
"22",57.4085,21.9428,12.6087,30.0572
"23",57.5444,21.8219,12.6573,30.0231
"24",57.7337,21.8914,12.6873,30.1287
"25",57.1948,21.9028,12.581,29.9746
"26",57.086,21.8551,12.6773,29.918
"27",57.4896,21.8738,12.6826,30.0428
"28",57.757,21.8061,12.6121,30.0721
"29",57.4357,21.9011,12.5764,30.0336
"30",57.7801,21.841,12.6313,30.0881
"31",57.4872,21.9251,12.5527,30.0569
"32",57.3359,21.9269,12.6034,30.0163
"33",58.0415,21.8123,12.6166,30.1457
"34",57.8848,21.8226,12.6426,30.1091
"35",57.1217,21.786,12.5789,29.8771
"36",57.025,21.8435,12.5975,29.8851
"37",56.7998,21.7999,12.5589,29.7947
"38",56.996,21.9626,12.618,29.9518
"39",57.012,21.8554,12.5917,29.886
"40",56.8468,21.8567,12.5584,29.8495
"41",57.2398,21.8281,12.6072,29.9407
"42",56.7258,21.8413,12.5324,29.796
"43",56.826,21.8166,12.5584,29.816
"44",57.0693,21.8437,12.594,29.9021
"45",56.8415,21.8411,12.6428,29.8292
"46",56.8876,21.845,12.6504,29.8516
"47",57.4448,21.9112,12.6537,30.0403
"48",57.545,21.8459,12.7058,30.0397
"49",57.9747,21.7871,12.7209,30.1196
"50",57.8007,21.8871,12.6665,30.1306
"51",57.6875,21.8804,12.6839,30.093
"52",57.6757,21.8919,12.6998,30.0975
"53",57.6896,21.9501,12.5889,30.1329
"54",57.8107,21.9992,12.6094,30.1954
"55",57.5998,21.9243,12.6204,30.087
"56",57.6205,21.8971,12.6022,30.0792
"57",57.9184,22.0251,12.5809,30.236
"58",57.9207,21.9346,12.6079,30.1846
"59",57.5774,21.9374,12.5786,30.0917
"60",57.3072,21.9731,12.5814,30.0416
"61",57.3977,21.9128,12.5491,30.0279
"62",57.5417,21.9242,12.6238,30.0785
"63",57.0721,22.0037,12.5672,29.9866
"64",57.4453,21.9776,12.5677,30.0915
"65",57.9828,21.9243,12.5326,30.2005
"66",58.0455,21.9455,12.6085,30.2318
"67",58.1503,21.9445,12.5799,30.2592
"68",57.6304,21.8799,12.6528,30.0777
"69",57.1258,21.8341,12.5526,29.9102
"70",57.7602,21.9819,12.6346,30.1748
"71",57.9699,21.9224,12.6413,30.1963
"72",58.9521,21.9778,12.6915,30.5053
"73",58.6864,21.9282,12.5733,30.3882
"74",57.3464,21.9878,12.708,30.0709
"75",57.2686,21.8865,12.61,29.9853
"76",56.8974,21.978,12.6615,29.9575
"77",56.9235,21.9088,12.5813,29.9028
"78",57.1608,21.8635,12.6657,29.9414
"79",57.3972,21.968,12.6192,30.071
"80",57.449,22.0329,12.6991,30.1289
"81",57.0585,21.9587,12.6686,29.9717
"82",56.761,22.072,12.6224,29.962
"83",56.8256,21.9479,12.6373,29.906
"84",57.2858,21.9899,12.6078,30.0483
"85",57.4675,22.0738,12.6339,30.1542
"86",57.737,22.111,12.6672,30.2521
"87",57.2194,22.0014,12.6502,30.0364
"88",56.982,21.9576,12.7056,29.9484
"89",57.2601,22.0515,12.7008,30.0799
"90",56.6124,22.0477,12.6653,29.9008
"91",57.1211,22.0208,12.7526,30.0292
"92",57.2864,22.0109,12.7278,30.0739
"93",57.3838,22.0221,12.6781,30.0996
"94",56.8094,21.9778,12.6098,29.9072
"95",57.9347,21.9217,12.7155,30.1891
"96",57.734,22.0648,12.7261,30.2208
"97",57.8923,21.9725,12.6121,30.1962
"98",58.0525,22.0481,12.6888,30.2987
"99",58.0411,21.9769,12.6834,30.2439
"100",58.5843,22.0694,12.6945,30.4515
"101",57.7127,22.0586,12.6611,30.1992
"102",57.377,21.971,12.6669,30.0561
"103",58.1595,21.9731,12.668,30.2751
"104",58.1007,21.9411,12.7135,30.245
"105",57.7948,21.9806,12.7238,30.1873
"106",58.6221,22.0874,12.6761,30.4799
"107",58.01,22.0667,12.6827,30.2949
"108",57.655,22.0611,12.7209,30.1948
"109",57.6352,22.0473,12.7579,30.1865
"110",57.3937,22.028,12.6151,30.1071
"111",57.3378,22.1113,12.6762,30.1434
"112",57.1271,21.9357,12.683,29.9704
