"","d_CD-CBM","Rg_CD","Rg_CBM","Rg_Global"
"140",39.7461,21.5269,12.5605,25.8825
"141",39.5735,21.5681,12.5084,25.848
"142",39.4185,21.4929,12.507,25.7032
"143",39.5856,21.4973,12.6271,25.7657
"144",39.2504,21.6025,12.4753,25.7721
"145",39.2719,21.5775,12.5109,25.7512
"146",38.7224,21.5475,12.5675,25.6614
"147",38.8741,21.6229,12.478,25.7881
"148",37.96,21.6017,12.5969,25.6054
"149",37.3089,21.4861,12.5548,25.3705
"150",36.8374,21.5407,12.5766,25.2869
"151",36.9052,21.4718,12.4777,25.2486
"152",36.6198,21.4342,12.62,25.1495
"153",36.6388,21.5341,12.604,25.2116
"154",36.7727,21.5428,12.5143,25.2309
"155",37.4908,21.4763,12.5465,25.3529
"156",37.4763,21.5389,12.5672,25.3603
"157",37.5852,21.5814,12.5161,25.443
"158",37.5033,21.4893,12.5001,25.3585
"159",37.2756,21.604,12.4695,25.4064
"160",37.3816,21.4778,12.494,25.3527
"161",37.0278,21.5843,12.4301,25.3587
"162",37.4808,21.5198,12.4823,25.3959
"163",37.0661,21.5067,12.5276,25.2953
"164",37.1102,21.53,12.4672,25.3352
"165",36.5921,21.4779,12.514,25.1872
"166",36.8768,21.5399,12.4761,25.2729
"167",37.202,21.5128,12.4619,25.3285
"168",37.0761,21.5,12.4902,25.3248
"169",37.4079,21.4775,12.4578,25.384
"170",37.3593,21.4453,12.4572,25.2944
"171",37.0454,21.5338,12.4121,25.3318
"172",36.6648,21.4593,12.508,25.1772
"173",36.692,21.5755,12.5211,25.2608
"174",36.9856,21.4978,12.5643,25.2954
"175",36.772,21.4317,12.5419,25.1707
"176",37.0674,21.4966,12.4956,25.2954
"177",36.8392,21.4558,12.5372,25.235
"178",36.7169,21.4711,12.5296,25.1867
"179",36.4432,21.4852,12.5443,25.1597
"180",36.9337,21.4747,12.5226,25.2276
"181",36.8841,21.4737,12.5149,25.2306
"182",37.1725,21.4772,12.5551,25.2934
"183",37.4862,21.5438,12.5213,25.4142
"184",37.5411,21.5236,12.4735,25.4111
"185",36.9951,21.5713,12.5269,25.3395
"186",36.585,21.4851,12.5392,25.2497
"187",36.5802,21.4627,12.5652,25.1568
"188",36.4269,21.4209,12.5254,25.1387
"189",36.5945,21.4747,12.5537,25.2219
"190",37.2134,21.5745,12.5365,25.412
"191",36.9643,21.3987,12.6477,25.2489
"192",36.616,21.5554,12.5656,25.2568
"193",37.2175,21.471,12.5366,25.3322
"194",37.2781,21.4333,12.5394,25.3136
"195",37.0733,21.487,12.5442,25.2838
"196",37.2628,21.5139,12.5004,25.3545
"197",36.615,21.4723,12.5311,25.1824
"198",36.9904,21.5477,12.5342,25.3267
"199",36.7494,21.5131,12.4908,25.243
"200",36.6422,21.4873,12.5722,25.1863
"201",37.1459,21.4478,12.497,25.2461
"202",36.9314,21.4712,12.5636,25.2189
"203",36.9811,21.5529,12.6094,25.3086
"204",37.0733,21.4763,12.5165,25.2888
"205",36.957,21.5385,12.5747,25.2981
"206",37.1627,21.5784,12.5482,25.3618
"207",37.1273,21.5615,12.5779,25.3668
"208",36.7635,21.5192,12.5827,25.2559
"209",37.0291,21.5744,12.4951,25.3488
"210",36.5442,21.5314,12.5889,25.2254
"211",36.6107,21.6096,12.5799,25.321
"212",36.3568,21.6049,12.5943,25.2823
"213",36.6435,21.7504,12.583,25.4334
"214",36.919,21.6836,12.5134,25.4284
"215",37.3493,21.645,12.528,25.49
"216",37.5015,21.6749,12.6053,25.5414
"217",37.0894,21.682,12.5513,25.4408
"218",37.0656,21.6899,12.5554,25.4253
"219",37.4371,21.6513,12.5111,25.4856
"220",37.6328,21.6238,12.5382,25.4973
"221",37.686,21.6378,12.5159,25.5179
"222",37.267,21.6247,12.5406,25.3858
"223",37.2392,21.6992,12.561,25.417
"224",37.3513,21.6197,12.5581,25.3958
"225",37.0958,21.6475,12.5284,25.368
"226",37.1624,21.699,12.5272,25.4273
"227",37.0129,21.7601,12.5173,25.4812
"228",37.2975,21.6712,12.5415,25.4971
"229",36.7685,21.6496,12.5216,25.3523
"230",37.385,21.7079,12.565,25.4977
"231",37.2071,21.7328,12.5989,25.4624
"232",37.2323,21.734,12.5519,25.4995
"233",36.8206,21.6884,12.5295,25.3673
"234",37.4112,21.7185,12.5621,25.5086
"235",37.2067,21.7292,12.5105,25.4998
"236",37.4155,21.6934,12.5213,25.549
"237",36.951,21.6908,12.5351,25.4581
"238",37.0325,21.7489,12.5214,25.4924
"239",36.8888,21.6625,12.5616,25.4051
"240",37.4383,21.7224,12.5358,25.5502
"241",37.4734,21.7632,12.6135,25.607
"242",37.1662,21.7396,12.6156,25.5154
"243",37.2996,21.6943,12.5753,25.4967
"244",37.1928,21.7665,12.5339,25.5088
"245",36.9708,21.6705,12.6358,25.4072
"246",36.8396,21.8019,12.5907,25.4541
"247",36.9703,21.7396,12.5496,25.4284
"248",37.1879,21.7688,12.4809,25.5162
"249",37.1717,21.7089,12.5722,25.4647
"250",37.214,21.6656,12.619,25.486
"251",36.7838,21.709,12.5354,25.4148
"252",36.5546,21.6997,12.5686,25.3544
"253",36.9484,21.6596,12.6539,25.3699
"254",37.0131,21.6284,12.5267,25.3739
"255",37.3619,21.7184,12.6155,25.5189
"256",37.1487,21.5867,12.5351,25.3709
"257",37.4074,21.6159,12.4905,25.4593
"258",37.1647,21.5748,12.5301,25.3876
"259",37.6505,21.672,12.575,25.587
"260",37.6052,21.5981,12.4971,25.5257
"261",37.6595,21.6163,12.5368,25.5324
"262",37.6385,21.528,12.5698,25.5193
"263",37.3681,21.5601,12.5124,25.4431
"264",36.9264,21.6204,12.5825,25.4522
"265",36.9548,21.669,12.55,25.4706
"266",36.622,21.6033,12.6277,25.3568
"267",36.7411,21.6095,12.493,25.3406
"268",37.3761,21.6289,12.6201,25.5243
"269",37.1025,21.6801,12.5657,25.4567
"270",37.3737,21.6163,12.5616,25.4623
"271",36.9704,21.6269,12.5991,25.3826
"272",37.5899,21.5857,12.5826,25.4553
"273",37.5403,21.5235,12.5605,25.4112
"274",37.4372,21.5621,12.5482,25.4231
"275",36.9906,21.6354,12.5997,25.3915
"276",37.3672,21.5699,12.5942,25.4235
"277",36.961,21.6754,12.616,25.457
"278",36.904,21.6088,12.5421,25.3493
"279",37.1147,21.5443,12.5778,25.3697
"280",37.0444,21.6186,12.5581,25.4028
"281",37.2464,21.7477,12.519,25.4763
"282",37.8294,21.6894,12.5451,25.5767
"283",37.2631,21.635,12.5472,25.4581
