"","d_CD-CBM","Rg_CD","Rg_CBM","Rg_Global"
"141",32.9519,21.9059,12.6668,24.5345
"142",32.8227,21.8645,12.5918,24.4677
"143",33.1517,21.8457,12.6632,24.5312
"144",33.2552,21.7894,12.5725,24.5002
"145",33.239,21.8733,12.5908,24.5693
"146",33.0165,21.8724,12.6431,24.5261
"147",32.687,21.8744,12.6585,24.4576
"148",32.8855,21.9087,12.591,24.4984
"149",33.042,21.9334,12.6263,24.58
"150",33.3529,21.848,12.6774,24.5697
"151",33.288,21.8345,12.6519,24.5446
"152",32.8217,21.9837,12.7057,24.5955
"153",33.0013,21.8411,12.6148,24.509
"154",32.9021,21.9291,12.6536,24.5525
"155",32.8448,21.8707,12.5898,24.4914
"156",33.347,21.8763,12.6357,24.5912
"157",32.5331,21.895,12.6904,24.4479
"158",32.4718,21.86,12.6947,24.4136
"159",32.4417,21.9334,12.6257,24.4887
"160",32.5456,21.934,12.6414,24.5169
"161",32.8483,21.9134,12.7087,24.5693
"162",32.8332,21.9939,12.6941,24.6002
"163",33.1095,21.8986,12.5761,24.5612
"164",32.7632,21.82,12.687,24.4554
"165",32.8105,21.8994,12.6832,24.5155
"166",32.9537,21.9138,12.637,24.5761
"167",32.943,21.8754,12.571,24.5345
"168",32.1544,21.9024,12.6097,24.4123
"169",32.64,21.9252,12.6027,24.5066
"170",33.0191,21.9393,12.5489,24.6204
"171",32.5885,21.8697,12.601,24.4395
"172",32.9864,21.8856,12.5832,24.5167
"173",33.0222,21.9103,12.5898,24.5485
"174",32.5416,21.9156,12.6595,24.4451
"175",32.9618,21.9611,12.731,24.583
"176",33.0057,21.8755,12.6821,24.5448
"177",33.5051,21.8889,12.5893,24.635
"178",33.33,21.8362,12.6762,24.5728
"179",33.5163,21.8641,12.6606,24.6477
"180",33.3655,21.8867,12.6419,24.627
"181",33.0159,21.8538,12.6193,24.5697
"182",33.5968,21.8904,12.6183,24.6964
"183",33.787,21.8732,12.5642,24.7047
"184",33.6948,21.8577,12.5822,24.6709
"185",33.9239,21.8313,12.5796,24.7099
"186",34.0179,21.8819,12.5979,24.7929
"187",34.5593,21.8785,12.5964,24.8634
"188",34.9027,21.8548,12.5395,24.9235
"189",34.8619,21.942,12.6969,25.0074
"190",34.6804,21.8848,12.5514,24.9007
"191",34.655,21.9101,12.6758,24.9033
"192",33.5209,21.9675,12.7485,24.7457
"193",33.6229,21.833,12.6373,24.6222
"194",33.5775,21.8419,12.719,24.6435
"195",33.3528,21.9087,12.6744,24.6277
"196",33.5466,21.8741,12.6452,24.6566
"197",33.808,21.7794,12.6619,24.6421
"198",34.2022,21.8319,12.6191,24.7249
"199",33.7319,21.8387,12.6499,24.6402
"200",33.5465,21.9243,12.7775,24.6968
"201",33.4297,21.8844,12.71,24.6482
"202",33.0745,21.8925,12.6856,24.5903
"203",33.059,21.8389,12.6395,24.5274
"204",33.7713,21.8837,12.6199,24.6862
"205",33.2718,21.8432,12.6509,24.5745
"206",33.1213,21.7969,12.6926,24.5094
"207",33.0545,21.7798,12.6104,24.4806
"208",32.7994,21.8871,12.6785,24.5015
"209",32.8041,21.7737,12.6168,24.4202
"210",32.5786,21.8743,12.6869,24.4414
"211",32.4435,21.8239,12.6382,24.3831
"212",32.6385,21.8417,12.6074,24.4257
"213",32.8494,21.895,12.5782,24.4974
"214",32.7398,21.7337,12.5769,24.347
"215",32.5532,21.7999,12.5686,24.3504
"216",32.8136,21.8086,12.6594,24.4247
"217",32.3484,21.7608,12.6366,24.3155
"218",32.2348,21.7946,12.5694,24.2845
"219",32.5385,21.8251,12.7221,24.4072
"220",32.4872,21.8008,12.6556,24.346
"221",33.0889,21.8479,12.6469,24.4779
"222",32.671,21.8564,12.6653,24.4137
"223",32.5285,21.8421,12.6712,24.3865
"224",32.7759,21.8939,12.5705,24.471
"225",32.7944,21.8519,12.5941,24.4413
"226",32.6979,21.8875,12.6937,24.4611
"227",32.8197,21.9279,12.6799,24.5037
"228",32.8865,21.9621,12.6109,24.5498
"229",32.9507,21.9155,12.6278,24.5273
"230",32.89,21.9343,12.6999,24.5263
"231",33.0274,21.8406,12.6248,24.4871
"232",32.7094,21.8955,12.7286,24.4933
"233",32.5924,21.9278,12.662,24.4897
"234",32.7167,21.8941,12.6596,24.4901
