#Frame       d_CD-CBM        Rg_CD       Rg_CBM    Rg_Global
     138      33.2604      21.5596      12.6387      24.2481
     139      33.1969      21.6364      12.6201      24.2951
     140      33.4774      21.6496      12.6401      24.3637
     141      33.0560      21.5602      12.6396      24.2053
     142      33.2150      21.6181      12.6256      24.2824
     143      33.0719      21.5593      12.5934      24.2035
     144      33.3973      21.5422      12.6073      24.2462
     145      33.4804      21.5522      12.6153      24.2885
     146      33.3184      21.6321      12.6665      24.3150
     147      33.3115      21.5438      12.6010      24.2399
     148      33.2915      21.6661      12.6634      24.3330
     149      33.5662      21.6232      12.6248      24.3562
     150      33.3683      21.5808      12.6253      24.2816
     151      33.4530      21.6339      12.6064      24.3446
     152      33.5333      21.6508      12.6328      24.3712
     153      33.6690      21.6326      12.6104      24.3754
     154      33.2418      21.6136      12.5869      24.2809
     155      33.2723      21.4666      12.5579      24.1609
     156      33.2423      21.6593      12.6372      24.3187
     157      33.2113      21.6668      12.6130      24.3203
     158      33.0040      21.6243      12.6290      24.2340
     159      33.4001      21.6132      12.5270      24.2929
     160      33.0613      21.6321      12.5860      24.2436
     161      33.2945      21.6249      12.5959      24.2896
     162      32.7828      21.6552      12.6276      24.2176
     163      33.1111      21.6746      12.6415      24.2828
     164      33.2077      21.6486      12.5536      24.2713
     165      33.2474      21.5477      12.6297      24.2099
     166      33.2310      21.5846      12.5932      24.2463
     167      33.3183      21.5955      12.6464      24.2818
     168      33.2374      21.5932      12.6526      24.2483
     169      32.9127      21.4773      12.6903      24.1058
     170      33.2204      21.5432      12.6469      24.2114
     171      33.1159      21.5520      12.6580      24.2008
     172      33.2107      21.6857      12.6876      24.3207
     173      33.1727      21.5215      12.6905      24.1882
     174      33.0832      21.5352      12.6770      24.1852
     175      33.2237      21.5138      12.6883      24.1770
     176      33.2278      21.6222      12.6675      24.2706
     177      33.5698      21.6163      12.6539      24.3417
     178      33.5563      21.6365      12.6221      24.3545
     179      33.5973      21.6557      12.5917      24.3722
     180      33.6728      21.6436      12.5383      24.3889
     181      33.5508      21.5905      12.6018      24.3124
     182      33.5215      21.5894      12.6380      24.3116
     183      33.5699      21.6431      12.5776      24.3402
     184      33.2042      21.5594      12.6322      24.2338
     185      33.5479      21.5602      12.6038      24.2955
     186      33.3399      21.5684      12.5620      24.2570
     187      33.2999      21.5596      12.5876      24.2431
     188      33.4654      21.6228      12.5681      24.3257
     189      33.0939      21.6604      12.6090      24.2855
     190      33.4245      21.5558      12.5846      24.2671
     191      33.2514      21.6031      12.5905      24.2755
     192      33.4365      21.5709      12.6275      24.2698
     193      33.0190      21.6835      12.6599      24.2864
     194      33.4810      21.6208      12.5797      24.3209
     195      33.3063      21.6874      12.5820      24.3313
     196      33.2472      21.6178      12.6966      24.2985
     197      32.9648      21.5779      12.7144      24.1963
     198      33.1763      21.5688      12.6425      24.2175
     199      33.3446      21.5323      12.6403      24.2372
     200      33.3361      21.4440      12.6051      24.1694
     201      33.4088      21.5425      12.6376      24.2496
     202      33.4343      21.4865      12.6314      24.2144
     203      33.2188      21.5386      12.5726      24.2131
     204      33.2376      21.6047      12.6545      24.2888
     205      33.3364      21.4908      12.6373      24.2186
     206      33.2223      21.5266      12.6189      24.2115
     207      33.1975      21.4342      12.7025      24.1455
     208      33.2245      21.5409      12.5845      24.2221
     209      33.2118      21.6119      12.5684      24.2610
     210      33.3508      21.6242      12.6046      24.3199
     211      33.3164      21.5950      12.6252      24.2752
     212      33.3631      21.6487      12.6155      24.3329
     213      33.1528      21.5955      12.6278      24.2588
     214      33.1584      21.6401      12.6668      24.2658
     215      33.1024      21.5916      12.6034      24.2243
     216      33.0999      21.6083      12.6681      24.2369
     217      33.3006      21.5730      12.6038      24.2443
     218      33.1301      21.6226      12.6424      24.2748
     219      33.2861      21.6599      12.6294      24.3277
     220      33.2680      21.5680      12.5881      24.2438
     221      33.3778      21.6202      12.5611      24.2877
     222      33.0124      21.6090      12.6487      24.2236
     223      33.1905      21.6087      12.5858      24.2572
     224      33.1392      21.5984      12.6201      24.2378
     225      33.4644      21.6263      12.6503      24.3275
     226      32.9691      21.6074      12.6239      24.2260
     227      33.1854      21.5832      12.5857      24.2257
     228      33.4534      21.5896      12.6290      24.2987
     229      33.5039      21.5400      12.6440      24.2757
     230      33.3577      21.6584      12.6056      24.3223
     231      33.4372      21.7235      12.6493      24.3907
     232      33.2355      21.6910      12.6131      24.3383
     233      33.3076      21.6191      12.5186      24.2825
     234      33.5392      21.6272      12.5131      24.3357
     235      33.2804      21.7455      12.5928      24.3891
     236      33.3240      21.8058      12.5928      24.4592
     237      33.4581      21.7373      12.5362      24.4141
     238      33.4043      21.6707      12.5532      24.3597
     239      33.4246      21.6394      12.5146      24.3279
     240      33.3890      21.6960      12.5870      24.3616
     241      33.1741      21.6947      12.5488      24.3260
     242      33.3379      21.6750      12.5351      24.3435
     243      33.5096      21.6461      12.5976      24.3530
     244      33.2201      21.6140      12.5454      24.2733
     245      33.3762      21.6908      12.5264      24.3727
     246      33.3821      21.6310      12.5316      24.3112
     247      33.2071      21.6298      12.5787      24.2798
     248      33.4311      21.6165      12.4474      24.2996
     249      33.2977      21.5631      12.5908      24.2626
     250      33.4686      21.6083      12.5851      24.3113
     251      33.5844      21.6423      12.5448      24.3482
     252      33.4511      21.6198      12.5652      24.3135
     253      33.3591      21.6553      12.6306      24.3410
     254      33.5017      21.7083      12.5915      24.3963
     255      33.1587      21.6051      12.6053      24.2552
     256      33.3656      21.6881      12.5951      24.3490
     257      33.4499      21.6399      12.5486      24.3368
     258      33.4745      21.6110      12.5687      24.3033
     259      33.6218      21.6417      12.4139      24.3443
     260      33.2585      21.6522      12.5532      24.2993
     261      33.2694      21.6228      12.5021      24.2805
     262      33.2247      21.6645      12.5802      24.3071
     263      33.2286      21.5902      12.5560      24.2541
     264      33.3723      21.7258      12.5771      24.3883
     265      33.6032      21.5822      12.5579      24.3166
     266      33.3635      21.6823      12.5255      24.3522
     267      33.3086      21.6275      12.5368      24.3011
     268      33.4232      21.6722      12.6003      24.3603
     269      33.5934      21.6722      12.5182      24.3949
     270      33.5443      21.6623      12.5325      24.3706
     271      33.5162      21.6035      12.5325      24.3251
     272      34.0760      21.6030      12.5135      24.4328
     273      33.7675      21.6508      12.5652      24.4118
     274      33.7055      21.5346      12.5013      24.2821
     275      33.3789      21.5869      12.4461      24.2828
     276      33.2150      21.6327      12.5091      24.2816
     277      33.4723      21.5764      12.4879      24.2825
     278      33.1543      21.6425      12.5013      24.2665
     279      33.7304      21.6431      12.5072      24.3777
     280      33.6277      21.6250      12.6015      24.3452
     281      33.3068      21.6030      12.5284      24.2767
     282      33.5286      21.5373      12.4700      24.2531
     283      33.2543      21.6996      12.5769      24.3309
     284      33.3161      21.5526      12.5082      24.2259
     285      33.2353      21.4849      12.5341      24.1598
     286      33.3468      21.5914      12.5112      24.2677
     287      32.9629      21.5652      12.6355      24.1847
     288      33.2382      21.5883      12.5502      24.2362
     289      33.4678      21.6113      12.5793      24.3065
     290      33.6357      21.6178      12.5875      24.3480
     291      33.2103      21.5951      12.5168      24.2398
     292      33.3841      21.6414      12.5379      24.3121
     293      33.4941      21.5620      12.5612      24.2676
     294      33.4100      21.5383      12.5652      24.2392
     295      33.5252      21.5543      12.6053      24.2853
     296      33.4931      21.4873      12.4912      24.2143
     297      33.2115      21.5732      12.5456      24.2381
     298      33.1053      21.5545      12.5457      24.1916
     299      33.2082      21.5656      12.4870      24.2164
     300      33.6880      21.6019      12.6166      24.3590
     301      33.5143      21.6440      12.5799      24.3595
     302      33.5800      21.5441      12.4560      24.2638
     303      33.4797      21.5265      12.5032      24.2412
     304      33.6668      21.5500      12.5230      24.2985
     305      33.8559      21.6012      12.6148      24.3918
     306      33.3546      21.5629      12.5120      24.2415
     307      33.3008      21.5818      12.5795      24.2615
     308      33.6865      21.5986      12.5664      24.3553
     309      33.3378      21.5559      12.5284      24.2429
     310      33.7102      21.6170      12.5624      24.3681
     311      33.3675      21.5896      12.5089      24.2748
     312      33.7272      21.5323      12.5156      24.2922
     313      33.7049      21.6584      12.5860      24.3888
     314      33.6136      21.5645      12.5827      24.3038
     315      33.5644      21.5824      12.5238      24.3178
     316      33.6608      21.6291      12.4613      24.3341
     317      33.2576      21.6545      12.5002      24.2935
     318      33.7388      21.5769      12.5426      24.3290
     319      33.6022      21.6305      12.5461      24.3339
     320      33.9491      21.6135      12.5365      24.3964
     321      33.7177      21.5607      12.5922      24.3249
     322      33.6262      21.5619      12.5797      24.3091
     323      33.6628      21.5711      12.6572      24.3361
     324      33.6197      21.5801      12.5877      24.3143
     325      33.2882      21.6311      12.5946      24.2944
     326      33.5812      21.6256      12.5830      24.3327
     327      33.4486      21.5755      12.5386      24.2717
     328      33.3285      21.6734      12.5921      24.3443
     329      33.4700      21.5893      12.5463      24.2906
     330      33.4802      21.6140      12.5301      24.3148
     331      33.4403      21.6624      12.5999      24.3400
     332      33.3120      21.6123      12.5302      24.2751
     333      33.5961      21.5862      12.5129      24.3236
     334      33.4591      21.5699      12.5180      24.2622
     335      33.5896      21.5609      12.4489      24.2757
     336      33.2577      21.5908      12.5016      24.2491
     337      33.3962      21.6645      12.5264      24.3296
     338      33.4612      21.6247      12.4935      24.2971
     339      33.5775      21.6271      12.5175      24.3236
     340      33.5344      21.7399      12.6780      24.4260
     341      33.2447      21.5902      12.6121      24.2469
     342      33.5490      21.6976      12.5115      24.3929
     343      33.7374      21.6692      12.6022      24.4162
     344      33.4645      21.7870      12.5268      24.4374
     345      33.7586      21.7766      12.5793      24.4954
     346      33.4548      21.7580      12.5534      24.4070
     347      33.7187      21.7923      12.5908      24.5009
     348      33.7024      21.7690      12.5268      24.4765
     349      33.8027      21.7640      12.5190      24.5033
     350      33.8375      21.7237      12.5179      24.4699
     351      33.9508      21.7242      12.4900      24.4775
     352      33.5917      21.6738      12.5427      24.3695
     353      33.6264      21.6712      12.6405      24.3860
     354      33.6405      21.6020      12.6660      24.3393
     355      33.6661      21.6219      12.5919      24.3608
     356      33.7567      21.7066      12.6581      24.4502
     357      33.7982      21.6566      12.5973      24.4159
     358      33.7044      21.6139      12.5628      24.3645
     359      33.4276      21.6275      12.5902      24.3179
     360      33.4308      21.6612      12.5425      24.3454
     361      33.5712      21.6313      12.6329      24.3458
     362      33.8502      21.5444      12.5892      24.3362
     363      33.5244      21.6059      12.6567      24.3289
     364      33.6555      21.6796      12.6638      24.4166
     365      33.4573      21.6047      12.5645      24.3198
     366      33.2507      21.5887      12.6186      24.2586
     367      33.3669      21.5504      12.5967      24.2699
     368      33.3481      21.6246      12.6110      24.3131
     369      33.4932      21.6801      12.6440      24.3803
     370      33.5736      21.5994      12.6186      24.3325
     371      33.5634      21.6840      12.6028      24.3839
     372      33.3732      21.6715      12.5471      24.3475
     373      33.6358      21.7163      12.6102      24.4290
     374      33.8230      21.5891      12.6018      24.3699
     375      33.8273      21.6573      12.6148      24.4225
     376      33.9064      21.6475      12.6020      24.4375
     377      33.7257      21.6564      12.5637      24.3963
     378      33.8211      21.5920      12.5671      24.3617
     379      32.9347      21.6919      12.6111      24.2961
     380      33.3931      21.7025      12.5932      24.3819
     381      33.4349      21.6109      12.5722      24.3139
     382      33.4824      21.6827      12.6018      24.3814
     383      33.9227      21.7488      12.6529      24.5296
     384      33.5590      21.6898      12.5611      24.4087
     385      33.3800      21.7220      12.6236      24.3999
     386      33.6981      21.7418      12.5534      24.4565
     387      33.4963      21.7141      12.5855      24.3956
     388      33.6431      21.6227      12.5989      24.3704
     389      33.6347      21.6124      12.6629      24.3690
     390      33.5935      21.7243      12.5649      24.4289
     391      33.5168      21.6545      12.6499      24.3714
     392      33.1732      21.6797      12.6330      24.3238
     393      32.8288      21.6494      12.6440      24.2288
     394      33.3861      21.6847      12.6726      24.3670
     395      32.8986      21.7110      12.6706      24.3005
     396      33.3551      21.7202      12.6960      24.3846
     397      33.2464      21.6352      12.6068      24.2898
     398      33.1183      21.6970      12.7169      24.3385
     399      33.3200      21.6899      12.7189      24.3591
     400      33.2690      21.7060      12.7316      24.3700
     401      33.3341      21.6945      12.6964      24.3549
     402      33.1521      21.6314      12.7801      24.2884
     403      32.8431      21.6868      12.6874      24.2561
     404      33.1334      21.7495      12.6509      24.3678
     405      33.3816      21.6893      12.6612      24.3619
     406      33.0578      21.7784      12.7078      24.3719
     407      33.1863      21.6714      12.6710      24.3176
     408      33.4317      21.7360      12.6957      24.4136
     409      33.4494      21.5769      12.6748      24.3046
     410      33.4244      21.6409      12.7063      24.3329
     411      33.7772      21.7161      12.6410      24.4552
     412      33.6162      21.6522      12.6261      24.3861
     413      33.4900      21.6638      12.6701      24.3616
     414      33.4949      21.6571      12.7153      24.3816
     415      33.0192      21.6958      12.6115      24.2999
     416      33.1360      21.6861      12.6113      24.3108
     417      32.9720      21.6393      12.6351      24.2481
     418      32.9509      21.6775      12.6060      24.2692
     419      32.9671      21.7394      12.6703      24.3337
     420      33.1777      21.6988      12.5893      24.3299
     421      33.5200      21.6499      12.6724      24.3667
     422      33.3582      21.6188      12.5786      24.3012
     423      33.2572      21.6224      12.5823      24.2723
     424      32.8465      21.5793      12.5837      24.1867
     425      33.1502      21.6759      12.6243      24.3113
     426      33.4607      21.6650      12.6010      24.3658
     427      33.1380      21.6568      12.6355      24.3017
     428      33.2286      21.6245      12.6006      24.2958
     429      33.1762      21.6427      12.5598      24.2770
     430      33.2942      21.5858      12.6212      24.2810
     431      33.5892      21.6303      12.5679      24.3553
     432      33.4660      21.6408      12.6284      24.3555
     433      33.3866      21.6880      12.6659      24.3788
     434      33.4126      21.6461      12.7099      24.3547
     435      33.5990      21.6175      12.6655      24.3625
     436      33.5947      21.6380      12.5910      24.3787
     437      33.8154      21.5509      12.5964      24.3467
     438      33.4642      21.5301      12.6220      24.2624
     439      33.3800      21.5734      12.6551      24.2864
     440      33.8790      21.6472      12.6532      24.4382
     441      34.0725      21.6380      12.6303      24.4707
     442      33.7226      21.6161      12.5682      24.3707
     443      33.4896      21.6338      12.6475      24.3529
     444      33.4337      21.6327      12.6479      24.3308
     445      33.1538      21.6774      12.6271      24.3114
     446      32.9788      21.6157      12.7771      24.2472
     447      33.6039      21.6853      12.6038      24.3987
     448      33.4397      21.7171      12.5799      24.3791
     449      33.4152      21.6838      12.6078      24.3628
     450      33.3000      21.7453      12.5986      24.3922
     451      33.6576      21.6588      12.5937      24.3799
     452      33.6287      21.5976      12.6504      24.3410
     453      33.5432      21.7278      12.6079      24.4215
     454      33.4359      21.6648      12.6196      24.3594
     455      33.2344      21.6325      12.7002      24.2950
     456      33.2590      21.6457      12.6683      24.3129
     457      33.4229      21.7108      12.6830      24.3951
     458      33.2906      21.6585      12.6819      24.3355
     459      33.0600      21.7002      12.6975      24.3172
     460      33.4032      21.5995      12.6598      24.3010
     461      33.5220      21.6532      12.6644      24.3638
     462      34.0376      21.6826      12.7207      24.4967
     463      33.5648      21.6976      12.6250      24.3992
     464      33.5607      21.6175      12.6571      24.3436
     465      33.1637      21.6539      12.6617      24.3035
     466      33.2618      21.5549      12.6058      24.2271
     467      33.2920      21.5649      12.5658      24.2417
     468      33.3277      21.5535      12.6498      24.2456
     469      33.2517      21.5799      12.6616      24.2517
     470      33.3521      21.5948      12.6400      24.2907
     471      33.1327      21.5898      12.5897      24.2319
     472      33.1756      21.6666      12.6142      24.3032
     473      33.3041      21.6486      12.6120      24.3162
