"","d_CD-CBM","Rg_CD","Rg_CBM","Rg_Global"
"1",46.6415,21.8084,12.5361,27.2339
"2",46.8143,21.7107,12.547,27.2172
"3",46.2697,21.6727,12.5466,27.0617
"4",46.5639,21.7221,12.5288,27.1721
"5",46.8594,21.7953,12.5231,27.2936
"6",47.1312,21.8216,12.6409,27.3917
"7",47.1426,21.6964,12.5879,27.286
"8",47.0542,21.697,12.5364,27.2615
"9",46.1232,21.7348,12.6101,27.0818
"10",46.2025,21.6735,12.5708,27.0438
"11",46.4032,21.7139,12.6315,27.1291
"12",46.6191,21.7355,12.6002,27.1926
"13",46.4127,21.7244,12.5931,27.1186
"14",46.2628,21.7631,12.5775,27.1129
"15",46.2651,21.7433,12.5999,27.101
"16",46.7525,21.6895,12.544,27.1792
"17",46.646,21.7286,12.5192,27.1839
"18",46.2167,21.6568,12.5361,27.0305
"19",46.58,21.7356,12.5565,27.1699
"20",46.5991,21.7,12.5205,27.1482
"21",45.8911,21.7167,12.5914,26.9827
"22",46.0159,21.6683,12.6405,26.9982
"23",46.656,21.7,12.605,27.1723
"24",46.221,21.619,12.6165,27.0147
"25",45.539,21.6128,12.5855,26.8521
"26",45.551,21.6805,12.7185,26.9173
"27",45.2459,21.668,12.5775,26.8187
"28",44.8148,21.6213,12.5913,26.6875
"29",45.2097,21.7076,12.6439,26.8426
"30",45.726,21.7235,12.6627,26.9881
"31",46.3449,21.6811,12.7031,27.1099
"32",46.0363,21.6362,12.5104,26.9776
"33",46.1067,21.6931,12.599,27.0312
"34",46.1558,21.6918,12.5229,27.0428
"35",45.4008,21.7355,12.5755,26.902
"36",44.9841,21.6825,12.5175,26.7473
"37",44.855,21.6275,12.5977,26.7023
"38",44.8266,21.6602,12.6127,26.7149
"39",45.3286,21.6353,12.5025,26.8084
"40",45.294,21.7038,12.5686,26.8477
"41",45.2552,21.6989,12.5249,26.8245
"42",44.7459,21.6055,12.5464,26.6512
"43",44.54,21.6415,12.5434,26.6426
"44",45.3214,21.6045,12.4846,26.7905
"45",44.7776,21.6522,12.5428,26.6956
"46",44.6333,21.685,12.5614,26.6811
"47",44.954,21.5993,12.569,26.6978
"48",45.0139,21.6283,12.5398,26.7277
"49",44.7319,21.6101,12.5494,26.6532
"50",44.8787,21.5908,12.5617,26.6743
"51",45.8388,21.6672,12.5545,26.9492
"52",46.4661,21.6756,12.5334,27.1093
"53",46.6285,21.6933,12.6069,27.1697
"54",46.638,21.6925,12.693,27.1836
"55",46.9431,21.6333,12.5761,27.202
"56",46.1321,21.6475,12.6248,27.0231
"57",46.1375,21.7359,12.612,27.0743
"58",46.2718,21.6393,12.521,27.029
"59",46.1595,21.7718,12.5927,27.1372
"60",45.8664,21.7379,12.6012,27.0263
"61",46.3845,21.6959,12.5591,27.1086
"62",46.3401,21.7238,12.6257,27.1231
"63",46.2432,21.6884,12.6085,27.0775
"64",46.5297,21.711,12.5012,27.1431
"65",46.227,21.6416,12.6328,27.0473
"66",46.3968,21.6875,12.5285,27.1045
"67",46.9909,21.6249,12.6687,27.2259
"68",46.8613,21.6993,12.6863,27.2357
"69",46.629,21.6644,12.6535,27.1577
"70",46.1379,21.6242,12.6198,26.9953
"71",46.3562,21.7294,12.5555,27.1235
"72",46.1726,21.682,12.6672,27.0659
