"","d_CD-CBM","Rg_CD","Rg_CBM","Rg_Global"
"506",59.0455,21.6474,12.5033,30.3233
"507",58.0947,21.6327,12.5625,30.0465
"508",58.8174,21.7474,12.4771,30.3302
"509",59.7674,21.6197,12.6474,30.5275
"510",59.553,21.7214,12.6148,30.5132
"511",60.5484,21.7524,12.5867,30.8203
"512",59.7296,21.6692,12.4773,30.5351
"513",59.7526,21.7306,12.4911,30.5765
"514",59.2958,21.7417,12.4584,30.4691
"515",59.5844,21.7231,12.6075,30.5317
"516",59.347,21.7451,12.5455,30.4794
"517",58.9977,21.6553,12.4757,30.3162
"518",59.4742,21.7106,12.5356,30.4848
"519",59.6823,21.6739,12.5713,30.5244
"520",59.8226,21.7653,12.7187,30.63
"521",60.9102,21.7545,12.6283,30.922
"522",60.4342,21.7804,12.6094,30.808
"523",59.0541,21.7425,12.5202,30.3872
"524",58.3902,21.7809,12.464,30.2288
"525",59.1201,21.6726,12.5172,30.376
"526",58.8232,21.7666,12.5201,30.3475
"527",59.2311,21.7279,12.5548,30.4321
"528",58.8953,21.6554,12.5882,30.2997
"529",59.2498,21.7701,12.5047,30.472
"530",60.0981,21.6606,12.5193,30.6314
"531",59.7812,21.7229,12.5363,30.5769
"532",60.5283,21.7307,12.5062,30.7844
"533",60.9907,21.7451,12.5354,30.9294
"534",61.424,21.7323,12.568,31.0464
"535",60.8082,21.7315,12.5045,30.8765
"536",59.9346,21.7811,12.5292,30.6627
"537",59.8132,21.7764,12.4499,30.6289
"538",60.0448,21.7839,12.5591,30.6936
"539",59.133,21.8078,12.5804,30.4577
"540",59.2309,21.7515,12.58,30.4415
"541",59.9564,21.7008,12.5781,30.6178
"542",59.8496,21.7863,12.4791,30.6175
"543",59.2275,21.7896,12.482,30.4684
"544",60.2769,21.7064,12.5436,30.7067
"545",60.0308,21.7371,12.4656,30.6547
"546",59.9976,21.722,12.4672,30.6306
"547",59.9094,21.7036,12.5422,30.6039
"548",60.3905,21.6005,12.5778,30.6813
"549",60.5012,21.6646,12.6166,30.7544
"550",60.3167,21.6983,12.6071,30.7302
"551",60.2653,21.7075,12.4768,30.7017
"552",60.0501,21.7098,12.6034,30.6506
"553",60.4803,21.7066,12.5711,30.7671
"554",60.4789,21.7306,12.5998,30.7842
"555",60.5226,21.7094,12.5977,30.771
"556",60.6247,21.8105,12.4593,30.8548
"557",60.2552,21.7211,12.5515,30.7121
"558",60.0447,21.7792,12.5211,30.6897
"559",59.6471,21.7247,12.5854,30.5531
"560",60.3268,21.6765,12.5828,30.7198
"561",60.1248,21.7134,12.5836,30.6653
"562",59.6045,21.7448,12.5318,30.5359
"563",60.5793,21.8243,12.5706,30.8602
"564",60.1903,21.6753,12.5731,30.6794
"565",59.9997,21.7504,12.6395,30.6634
"566",60.3228,21.7031,12.605,30.7297
"567",59.9299,21.7359,12.614,30.6346
"568",59.4418,21.7315,12.481,30.4876
"569",58.9994,21.7075,12.5866,30.3656
"570",58.7967,21.7467,12.583,30.3272
"571",59.1689,21.7186,12.5531,30.407
"572",59.5739,21.7393,12.5683,30.5504
"573",59.7628,21.7323,12.5966,30.5882
"574",59.6582,21.7858,12.5729,30.5842
"575",59.4724,21.7833,12.6136,30.5376
"576",59.1763,21.7434,12.5744,30.4286
"577",59.1737,21.7825,12.5442,30.4445
"578",59.1545,21.7273,12.5941,30.4184
"579",58.9296,21.7475,12.5244,30.3559
"580",59.0332,21.7891,12.4899,30.404
"581",58.7452,21.7564,12.4378,30.3088
