#Frame       d_CD-CBM        Rg_CD       Rg_CBM    Rg_Global
       1      42.2479      21.6809      12.6006      26.2447
       2      42.4460      21.6598      12.4514      26.2357
       3      42.1775      21.5493      12.5536      26.1152
       4      42.4388      21.6082      12.6031      26.2348
       5      42.1782      21.6146      12.6208      26.1808
       6      42.8686      21.6039      12.6344      26.3331
       7      43.4528      21.5564      12.5395      26.4450
       8      42.7112      21.6027      12.5929      26.2800
       9      41.7904      21.5311      12.6196      26.0316
      10      42.0354      21.5930      12.5164      26.1136
      11      42.2779      21.5945      12.5698      26.1651
      12      42.8028      21.5924      12.4642      26.2655
      13      42.0929      21.5710      12.5760      26.1096
      14      42.7123      21.5908      12.6678      26.2745
      15      42.7034      21.5774      12.5242      26.2381
      16      43.4081      21.6406      12.5695      26.4534
      17      43.3695      21.6767      12.5444      26.4749
      18      43.1637      21.6630      12.6098      26.4231
      19      41.8831      21.6996      12.5639      26.1445
      20      41.5077      21.6619      12.6533      26.0511
      21      41.3120      21.6542      12.5891      25.9880
      22      42.1473      21.7481      12.6572      26.2601
      23      42.3142      21.6815      12.6321      26.2443
      24      42.0038      21.7095      12.6232      26.1808
      25      41.5413      21.6680      12.5683      26.0556
      26      41.8773      21.5825      12.5770      26.0652
      27      41.1591      21.6909      12.5912      25.9831
      28      41.5354      21.7667      12.6374      26.1386
      29      41.2916      21.7023      12.5987      26.0283
      30      41.0462      21.6402      12.6942      25.9327
      31      41.6426      21.6575      12.6547      26.0853
      32      41.7950      21.7076      12.6927      26.1512
      33      41.5308      21.7707      12.6442      26.1349
      34      42.0528      21.6528      12.6040      26.1814
      35      42.5368      21.7349      12.6232      26.3390
      36      42.6021      21.6373      12.6610      26.3045
      37      42.3178      21.6710      12.5572      26.2307
      38      42.5985      21.7709      12.5869      26.3812
      39      42.0243      21.5982      12.5758      26.1478
      40      42.5124      21.7591      12.6192      26.3502
      41      42.0509      21.6448      12.6056      26.1688
      42      42.9569      21.7089      12.6741      26.4263
      43      43.1873      21.6360      12.7647      26.4542
      44      44.0513      21.6024      12.5721      26.6344
      45      44.1645      21.7603      12.5268      26.7394
      46      43.7606      21.7150      12.6082      26.6154
      47      43.1927      21.6964      12.6160      26.4821
      48      42.6314      21.5941      12.6462      26.2843
      49      42.8337      21.5130      12.5713      26.2512
      50      42.5337      21.5842      12.5178      26.2273
      51      42.8024      21.5293      12.6279      26.2612
      52      43.0108      21.6288      12.5504      26.3778
      53      43.1091      21.6403      12.6192      26.4430
      54      43.0008      21.6818      12.5490      26.4153
      55      42.5451      21.6244      12.5508      26.2614
      56      42.9384      21.7035      12.5236      26.4196
      57      42.7248      21.6677      12.6013      26.3411
      58      42.8991      21.6032      12.5410      26.3314
      59      42.2960      21.6597      12.5904      26.2411
      60      41.5890      21.6992      12.5575      26.0918
      61      41.4979      21.7587      12.5427      26.1113
      62      40.7083      21.6660      12.5997      25.8841
      63      40.1182      21.6859      12.6004      25.7567
      64      40.1907      21.7181      12.5844      25.7989
      65      39.2905      21.6834      12.5538      25.5797
      66      39.2544      21.7440      12.6328      25.6394
      67      39.2760      21.6652      12.5130      25.5482
      68      39.0492      21.7232      12.5829      25.5493
      69      39.2034      21.7574      12.5431      25.6016
      70      39.5840      21.7011      12.5597      25.6901
      71      39.9450      21.7642      12.5121      25.8165
      72      39.9220      21.7162      12.5624      25.7727
      73      39.5509      21.6968      12.5834      25.6827
      74      39.7202      21.7344      12.5743      25.7530
      75      39.1746      21.6611      12.6840      25.5949
      76      38.7445      21.6946      12.5694      25.5145
      77      38.9542      21.7828      12.5378      25.6131
      78      39.1398      21.7061      12.6361      25.6169
      79      38.9244      21.6185      12.6621      25.5031
      80      38.7713      21.6672      12.5786      25.4982
      81      39.5702      21.6819      12.6014      25.6616
      82      39.0470      21.6633      12.5517      25.5092
      83      38.9744      21.6319      12.5806      25.4790
      84      38.3517      21.7601      12.7069      25.4399
      85      38.2512      21.6613      12.6220      25.3476
      86      38.1203      21.7555      12.6573      25.3950
      87      37.9318      21.7565      12.6859      25.3443
      88      38.2004      21.6855      12.6395      25.3494
      89      38.4348      21.7016      12.6677      25.4207
      90      38.8705      21.7361      12.7276      25.5324
      91      38.0879      21.7498      12.6198      25.3988
      92      38.1024      21.6477      12.7078      25.3374
      93      38.7737      21.6980      12.6214      25.4878
      94      38.1648      21.6857      12.6054      25.3668
      95      38.1854      21.6386      12.6054      25.3214
      96      37.9284      21.6453      12.6381      25.2895
      97      37.9834      21.6884      12.6079      25.3522
      98      38.1251      21.6942      12.5713      25.3834
      99      38.2014      21.7194      12.6107      25.4294
     100      38.3279      21.7584      12.6440      25.4694
     101      38.2171      21.6590      12.5705      25.3680
     102      37.8605      21.7981      12.5386      25.3965
     103      38.3361      21.7247      12.5190      25.4305
     104      38.3498      21.6474      12.5869      25.3882
     105      38.0549      21.6863      12.5812      25.3447
     106      37.6941      21.6963      12.5429      25.2781
     107      38.2768      21.7226      12.5788      25.4303
     108      38.0277      21.7385      12.6405      25.3886
     109      38.3664      21.7053      12.5954      25.4606
     110      37.9606      21.7390      12.6294      25.3665
     111      37.9978      21.8168      12.5803      25.4245
     112      38.2992      21.7872      12.5590      25.4535
     113      38.5084      21.7281      12.5818      25.4757
     114      38.1254      21.8257      12.5892      25.4695
     115      38.2159      21.7117      12.6019      25.4116
     116      38.2805      21.6744      12.5792      25.4061
     117      37.8898      21.8011      12.5268      25.3891
     118      37.9739      21.7600      12.5917      25.3961
     119      38.2377      21.7838      12.5988      25.4594
     120      38.2510      21.7557      12.5716      25.4371
     121      38.0852      21.7112      12.6953      25.3709
     122      38.5199      21.6862      12.5764      25.4699
     123      37.9289      21.6691      12.5786      25.3150
